person_name,Time,Comments,Language
ABHISHEK NAVGHARE,a month ago on,great environment spiritual place patriotic place,en
Bhushan Bawankule,a week ago on,nice temple nagpurjay shree ram jay jay shree ram,en
Mr. Pratik Dole,5 months ago on,underated historical place visit,en
ABHISHEK NAVGHARE,a month ago on,great environment spiritual place patriotic place,en
prashant gour,5 months ago on,beautiful place near nagpur entery fee got r per person enterence clean large space spend time here,en
Himanshu Nikhare,2 months ago on,interesting place amazing location im happy jay shree ram,en
Prolific Adda nutankumar,4 weeks ago on,best place study ramayana visual story great atmosphere,en
Guddi Rewatkar,5 months ago on,good designing much space enjoying place family friend come take ashirwad lord shree ram hanuman jijau siya ram,en
Tushar Khurana,5 months ago on,peaceful palace musium,en
Nilesh Parate,5 months ago on,,en
Pankaj D.,5 months ago on,nice temple,en
Shantanu Bose,2 months ago on,beautifully built gallery something miss visit city,en
Sachin Ghumre,2 months ago on,best experience viewing pictorial ramayanamust visit,en
Subhash kumre,5 months ago on,place fully ramayan story photo frame jai shree ram,en
Tushar Khurana,5 months ago on,peaceful palace musium,en
Pankaj D.,5 months ago on,nice temple,en
Satyam Runghe,4 months ago on,love temple story ramayan really unbelievable,en
mj Tejas,6 months ago on,connect god dharmik temple beautiful view jay shree ram name shree ram dham,en
aniket washimkar,5 months ago on,must visit place every hindu ram bhakt totally worth visiting place family member,en
Fattusingh Chandel,4 months ago on,beautiful temple ram mandir koradi,en
VIVEK KATRE,4 months ago on,best place visit also consist museum,en
Ankit Kashyap,4 months ago on,beautiful place jai shree ram,en
RAVI GITE,4 months ago on,excellent work,en
Jayesh Nehete,2 months ago on,great place visit good environment,en
Akshay Shiware,6 months ago on,overall good entry ticket per person,en
Aashirwad Bhope,4 months ago on,best place visit understanding history,en
RAVI GITE,4 months ago on,excellent work,en
KISHOR DESHKAR,5 months ago on,ram mandirnear chawdiwarcha ganpati,en
ABHISHEK GABHANE,a month ago on,intricate design exceptionally good,en
Sumit Nishad,a month ago on,really amazing place,en
G G,a month ago on,mandir museum,en
Royal winning videos,5 months ago on,beautiful relaxing atmosphere,en
A Monika Yadav,4 months ago on,beautiful museum,en
GANESH PAUNIKAR,2 months ago on,translated google jai shri ram,en
DHIRAJ LINGE,a year ago on,newely constructed shri ram mandir complax name shri ram dham,en
Yash Chichghare,2 months ago on,outstanding marvellous interior,en
Ghanshyam Chichghare,4 months ago on,jay shri raam translated google jay shri rama,en
GANESH PAUNIKAR,2 months ago on,translated google jai shri ram,en
Nidhi Sahu,3 months ago on,pictorial representation ramayan,en
Prateek Kale,3 weeks ago on,awesome,en
RITIK MESHRAM,6 months ago on,nicestructure interior design,en
Gulshan Kathane,6 months ago on,must place visitapt family,en
PRAFUL PAGADPALLIWAR,a month ago on,awesome nice,en
Nandini Raipure,4 months ago on,must visit place,en
Parth Patel,8 months ago on,good place know aur culture,en
RUSHIkESH RAUT,4 months ago on,jay shree ram,en
Prachi Chavhan,4 months ago on,thats great,en
Pawan Parate,5 months ago on,good paiteings good everything,en
Pravin Dhumale,4 months ago on,nice place,en
Prakashit borkar,6 months ago on,ram mandir nice,en
deveah Sahu,3 months ago on,nice temple,en
Parmanand Shrimali,5 months ago on,visit nice place,en
Vivek Thakre,5 months ago on,good,en
Ravi Bagade,3 months ago on,beautiful,en
Gaurav Vaidya,5 months ago on,awsome design,en
Dmz Vul,5 months ago on,amazing experience,en
Deven Khapre,2 months ago on,translated googlejai shri ram,en
Akash Koli,6 months ago on,nice,en
divya vaidya,5 months ago on,really amazing,en
Piyush Zade,6 months ago on,nice place koradi,en
Ravi Ukey,5 months ago on,nice environment,en
Aashish Meshram,3 months ago on,nice place,en
Nikhil Thakur,6 months ago on,must visit place,en
Vaibhav Mundafale,9 months ago on,nice,en
Sumedh Meshram,5 months ago on,nice place,en
Shivam Saharkar,6 months ago on,nice place,en
Shiwani,2 weeks ago on,jai shree ram,en
Nihal Gour,2 months ago on,jai shri ram,en
Shiwani,2 weeks ago on,jai shree ram,en
Nihal Gour,2 months ago on,jai shri ram,en
Ratan Singh,2 weeks ago on,jai shree ram,en
Raju Yadav,5 months ago on,translated google ram mandir koradi tampal photo original,en
Shyam Maske,3 months ago on,,en
Gaurav Ugemuge,5 months ago on,ram dham koradi nagpur,en
Shrikant Bhonde,9 months ago on,india last week really magic feel excitement people particular ceremony proud mauritian indian origin extremely exited celebrate divali auspicious occasion,en
Achal Mahakalkar,5 months ago on,,en
Vikrant sahu,5 months ago on,jao shree ram,en
Ankit Sonkusare,6 months ago on,dought bjp taking benefit ram mandir election think pm modi deserve bcz lucky see ram mandir ater year love modi,en
Pratik Chaudhari,3 months ago on,proud murti sculpture done karnataka,en
Vedant Halde,an hour ago on,jai shree ram myanmar really want come india darshan shree ram mandir,en
Gaurav Ugemuge,5 months ago on,ram dham koradi nagpur,en
Sujata Rao,4 months ago on,indian stood demand government bharat,en
neeraj kumar,5 months ago on,declare national holiday day ayodhya ram mandir utsav,en
Shruti Ingulkar,4 months ago on,yes lucky beautiful moment many year ever going value dharma jai bharat,en
Chetan parlewar,2 months ago on,nice proud indian proud hindu namah shivay jai sri ram,en
SEJAL KATRE,4 months ago on,big day,en
Abhi Nil,5 months ago on,goosebump coming body,en
sachin thombre,2 months ago on,one hand nehru tried best put lord ram oblivion ever pm modi done everything completely nullify neutralize nehru misdeed congress agent garb bhagwa clothes hyper active stop ram temple bjp alone fought decade therefore bjp every right make agenda,en
AKSHAY PATIL,6 months ago on,jai shri ram,en
