person_name,Time,Comments,Language
@mlsharma3251,2024-01-22T18:15:23.356Z,jay shree ram prabhu ram aa gayeorangehearttriangularflagpleadingfacemanbowingsmilingfacewithsmilingeyes,en
@gautamrewri5230,2024-01-22T18:14:23.356Z,jai shree ram triangularflag,en
@aditya_suman8676,2024-01-22T18:08:23.826Z,happy diwali,en
@gavyafamilyvlogs,2024-01-22T18:08:23.826Z,foldedhandsrosefoldedhands,en
@Amankhan25803,2024-01-22T18:08:23.826Z,mujhe ye nahi pata ki muslimfacewithtearsofjoy hoke subhe se ram mandir ka live stream dekhra hu aur aj ke din ki vibe hi alag thi kyuki jaha rehta hu waha sab dharam ke log ek hai,en
@vloggershobhit,2024-01-22T18:11:23.884Z,bhai aapko acha lag raha hai ya nhi sach batana,en
@Amankhan25803,2024-01-22T18:24:23.884Z,vloggershobhit bhai tab se jai shree ram bolta tha jab mujhe dharmo ka matalab bhi nahi janta tha ramayan dekhkar bada hua hu aur jab aaj kuch hinduo ki nafrat dekhkar aisa lagta hai ki galat tha,en
@vloggershobhit,2024-01-22T18:34:23.885Z,amankhan bhai sach btau hindu muslim ke khilaf kabhi nafrat nhi karte u real muslim respect bro foldedhands,en
@chandanchauhan9132,2024-01-22T18:07:23.826Z,prem se bolo jai shree ram,en
@31_07,2024-01-22T18:05:24.386Z,modi ji,en
@rinkipaswan3313,2024-01-22T18:05:24.386Z,loudlycryingfaceloudlycryingfaceloudlycryingface please foldedhands modi ji hamare krishna bhagawan ke janmbhumi ko bhii malecchon se mukti dila dijie foldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhands,en
@cowboy3090,2024-01-22T18:05:24.386Z,hindu jai shri ram today auspicious day remember hindu r hindu first dont divide hindu caste request hindu bros sister visit ram temple especially nepali bhais bangladesh bhais pakistani bhais smilingfacewithsmilingeyes,en
@ansingh6235,2024-01-22T18:04:24.386Z,chha gaye modi ji grinningfacewithsweat,en
@rishu2754,2024-01-22T18:02:24.387Z,modi ji please take step demonetise pakistani seriel channel india youtube always trending india youtube prorogating false narrative india jai shree ram,en
@rishu2754,2024-01-22T18:01:24.387Z,modi ji please take step demonetise pakistani seriel channel india youtube always trending india youtube prorogating false narrative india jai shree ram,en
@RajeshKVlog7,2024-01-22T17:57:24.861Z,diyalampdiyalampdiyalampdiyalampdiyalampdiyalampdiyalampdiyalampdiyalampdiyalampdiyalampdiyalamp,en
@user-xl7uy9vj2r,2024-01-22T17:55:25.611Z,facewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthfacewithopenmouthtornadocloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightningcloudwithlightning baap,en
@XamideaJNU,2024-01-22T17:55:25.611Z,congratulation modi ji fir redheartpartypopper,en
@user-vu4vf4pg2c,2024-01-22T17:51:25.612Z,jai ho mata sita pita shree ram jii kiitriangularflagredheartsmilingfacewithhearteyesfoldedhands,en
@user-vu4vf4pg2c,2024-01-22T17:51:25.612Z,jai shriman narayantriangularflagredheartsmilingfacewithhearteyesfoldedhands,en
@akashrajbhar9893,2024-01-22T17:51:25.612Z,jay shree ram triangularflagtriangularflagtriangularflag,en
@user-vu4vf4pg2c,2024-01-22T17:50:25.612Z,jai shriman narayantriangularflagredheartsmilingfacewithhearteyesfoldedhands,en
@Bhaktivibes009,2024-01-22T17:50:26.207Z,redheartredheartredheartredheart,en
@akashrajbhar9893,2024-01-22T17:50:26.207Z,jay shree ram triangularflagtriangularflagtriangularflag,en
@user-vu4vf4pg2c,2024-01-22T17:50:26.207Z,jai shriman narayantriangularflagredheartsmilingfacewithhearteyesfoldedhands,en
@akashrajbhar9893,2024-01-22T17:50:26.207Z,jay shree ram triangularflagtriangularflagtriangularflag,en
@user-vu4vf4pg2c,2024-01-22T17:50:26.207Z,jai shriman narayantriangularflagredheartsmilingfacewithhearteyesfoldedhands,en
@user-vu4vf4pg2c,2024-01-22T17:49:26.207Z,jai shriman narayantriangularflagredheartsmilingfacewithhearteyesfoldedhands,en
@motivationalgurusimpalsi-vc3xz,2024-01-22T17:49:26.207Z,jai shree ram,en
@RajeshKVlog7,2024-01-22T17:49:26.207Z,triangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflag,en
@shyam-vz4vq,2024-01-22T17:48:26.207Z,jay shree ram jay shree ram jay shree ramredheartredhearttriangularflagtriangularflag,en
@brijeshkumar9422,2024-01-22T17:48:26.207Z,redheartredheartjai shree raam firefire,en
@dkr1888,2024-01-22T17:47:26.207Z,starting jo bhajan hai wo mast hai redheart,en
@aktechnoyt6271,2024-01-22T17:47:26.208Z,alp ki vaccency bada dijiye modi ji,en
@ankajkushwaha1410,2024-01-22T17:47:26.665Z,emotion lakh lakh people felt today redheartredheartredheartredheartredheart,en
@karrisekhar9052,2024-01-22T17:46:26.666Z,foldedhands,en
@krishnmohanchaudhary8658,2024-01-22T17:45:26.666Z,jay shree ram,en
@Anurag-1904,2024-01-22T17:45:26.666Z,jai shree ram jai shree ram jai shree ram redheartredheartredheartredheartredheartredheartredheartcryingfacecryingfacecryingfacecryingfacecryingface,en
@arjundeora4991,2024-01-22T17:44:26.666Z,jai shree ram,en
@fullfeellifes6587,2024-01-22T17:44:26.666Z,jai shree ram aaj video ko billion view tak le jana har ek sanatani ka kartavya hai redheartomredheart,en
@Lavender-kj6td,2024-01-22T17:38:27.192Z,kashmir waiting ram shiv soonfire jai shree ramom,en
@alliswell6471,2024-01-22T17:37:27.192Z,triangularflagtriangularflag khatam triangularflagtriangularflag triangularflagtriangularflagtriangularflagtriangularflagtriangularflag,en
@juginderbali7688,2024-01-22T17:36:27.192Z,jai shree ram ram ram ram,en
@vishallvines,2024-01-22T17:36:27.192Z,jai shree ramfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhands,en
@preetirajak3894,2024-01-22T17:36:27.192Z,jai shree ram foldedhandstriangularflagredheart,en
@sheshofficial1,2024-01-22T17:35:27.667Z,triangularflag foldedhandstriangularflag,en
@harishts8526,2024-01-22T17:35:27.667Z,jaiii sree ram collisionomomomomomomomomomom,en
@asheeshvishwakarma6395,2024-01-22T17:35:27.667Z,,en
@dveeranna411,2024-01-22T17:35:28.289Z,,en
@r.k.y.5928,2024-01-22T17:35:28.289Z,ayodhya nagari,en
@yashpalraghuvanshi7425,2024-01-22T17:35:28.289Z,jai shree ram redheartredheart,en
@smahmedhasan6643,2024-01-22T17:35:28.289Z,r ke param pujaniya sar sang chalak dr shri mohan bhagwat ji aaj ayodhya shree ram ji ka pranpratishtha karya kram sambhodit karte huve hamare pyare bharat wasiyon ko bahut bahut hardik badhai wa subh kamnaye jai shree ram foldedhandsrose,en
@rajeshsinghraju9943,2024-01-22T17:35:28.289Z,jai shree ram,en
@sonadhungana3274,2024-01-22T17:35:28.289Z,wow amazing india smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,en
@pkvlogs8675,2024-01-22T17:35:28.289Z,jai shree ram triangularflagtriangularflagtriangularflag,en
@dharmendrarajroy8573,2024-01-22T17:35:28.289Z,jai shree ram triangularflagtriangularflag triangularflagtriangularflag triangularflagtriangularflag triangularflagtriangularflag triangularflagtriangularflag foldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhands jai shree ram triangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflag,en
@nemaramsankhlasani4615,2024-01-22T17:35:28.345Z,jai shree ram,en
@priyasharma6478,2024-01-22T17:35:28.887Z,mere pa koi jadu hota toh manniya pm modiji ka umar sekro saal kar deta jsyse sekro barso per aaj ram ko apne ghar bapas layaloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfacehe prabhu sree ramfoldedhandsfoldedhandsfoldedhandsfoldedhands,en
@VishalKumar-bf1by,2024-01-22T17:35:28.887Z,ye live stream sabse jada dekhe jana wala video bnn gaya hai partypopperpartypopper power india foldedhands,en
@odishatrader.3,2024-01-22T17:35:28.888Z,modi ji aap maha manab ho,en
@odishatrader.3,2024-01-22T17:35:28.950Z,aje se bharat maa ram ki rajya bhi ho gaya jo kho gaya tha,en
@tate_musculinity,2024-01-22T17:35:28.888Z,jai sri ram redheart,en
@indukooriraju,2024-01-22T17:35:29.463Z,karsevaks grounded babri thought victory never thought wildest dream would see ram mandir ayodhya grandeur happend coz modi wish happen make hindu happy honored,en
@sandeep.swagger,2024-01-22T17:35:29.463Z,jai shri ram redheart,en
@gurukantpatil,2024-01-22T17:35:29.463Z,best thing done year may modi ji elect year,en
@vaibhavkamble-lb2yt,2024-01-22T17:35:29.463Z,redheartredheartredheartredheartredheartredheartredheartredheartredheartredheart,en
@raju.001,2024-01-22T17:35:29.463Z,foldedhandstriangularflag,en
@lavi8513,2024-01-22T17:35:30.050Z,modiji apne itihas bana diya hai ap sadev yaad rakhe jayenge redheart ap sab kya kehte hai maine sahi kaha na,en
@grammyd5342,2024-01-22T17:35:30.592Z,,en
@surabhisingh952,2024-01-22T17:35:30.593Z,,en
@mahendrasinghchoudhary5403,2024-01-22T17:35:30.593Z,jai shree ram triangularflagtriangularflag,en
@manju450,2024-01-22T17:35:30.593Z,adbhut jay sriram,en
@user-iq3ti7kn7h,2024-01-22T17:35:30.593Z,jay shree ram foldedhandstriangularflagtriangularflagtriangularflag,en
@smrutipanda3626,2024-01-22T17:35:30.593Z,jai shree ram foldedhandsredheart,en
@dibakarworld,2024-01-22T17:35:31.085Z,jai shree ramtriangularflagtriangularflagtriangularflag,en
@RelaxationWorld4U,2024-01-22T17:35:31.085Z,jay shree rambouquetbouquetbouquetbouquetbouquetfoldedhands sooo proud modiji pm happy diwali everyone diyalampdiyalampdiyalampdiyalampdiyalampfoldedhands,en
@Darknight1y,2024-01-22T17:35:31.085Z,ramrollingonthefloorlaughing doubted seetha thought lawa kusa ravanas sonsfacewithtearsofjoy ravanan didnt touch heir without permission ravanan man culturesmilingfacewithsunglasses,en
@golupandey6531,2024-01-22T17:35:31.085Z,foldedhandsfoldedhands,en
@MANISHKUMAR-hb7jd,2024-01-22T17:35:31.085Z,jai shri ramtriangularflagtriangularflag,en
@gajendrathakur8728,2024-01-22T17:35:31.085Z,modi abtar redheartredheartredheartredheart,en
@AGNI351,2024-01-22T17:35:31.085Z,triangularflagtriangularflagtriangularflag,en
@sochon9908,2024-01-22T17:35:31.085Z,jay shire ramfoldedhandsfoldedhandsfoldedhands,en
@Unknown_myth,2024-01-22T17:35:31.508Z,jai jai shree ram redheartsparklessparklessparkles,en
@ankur3212,2024-01-22T17:35:31.508Z,clappinghandsclappinghandsclappinghandsclappinghands,en
@abhishekdutta2443,2024-01-22T17:35:31.508Z,,en
@BharatSharma-qf7bp,2024-01-22T17:35:32.742Z,jai shree ram,en
@bhavnitajain,2024-01-22T17:35:33.249Z,redheartfacewithtearsofjoypartypopperfacewithopenmouthgrinningfacewithsweatsmilingfacewithsmilingeyesfacewithopenmouth,en
@Rahulsinh07,2024-01-22T17:35:33.249Z,foldedhandstriangularflag triangularflagfoldedhands,en
@Koutilya.2011,2024-01-22T17:35:33.249Z,vote modiji,en
@PranavanandaChintalapudi,2024-01-22T17:35:33.767Z,pm modi achieved political leader sort ability great honor hindu world jai shri ram hara hara modi,en
@kameswarYouTubeExpress,2024-01-22T17:35:34.503Z,welcome ayodhya nagari smilingfacewithhearts jay shree ram hindutemplefoldedhandssmilingfacewithheartspartypoppertriangularflag,en
@AllInSongBhojpuri,2024-01-22T17:35:34.504Z,ek baat humko yaad haii january ka kaam pura huaa jiifoldedhandsfoldedhandsfoldedhandsfoldedhands hank,en
@rohitdhaigude13,2024-01-22T17:35:34.999Z,triangularflag triangularflag,en
@ravindraroy6270,2024-01-22T17:35:34.999Z,hummara sapna pura hoo gaya hai,en
@vishnu642singh8,2024-01-22T17:35:34.999Z,jai shree ram,en
@shortvideowallah,2024-01-22T17:35:35.000Z,foldedhandssunriseredheartfoldedhands,en
@raeespirraeespir1460,2024-01-22T17:35:35.000Z,redheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartsparklingheartsparklingheartokhand,en
@raeespirraeespir1460,2024-01-22T17:35:35.430Z,sparklingheartsparklingheartokhand,en
@RohitKumarSingh-pu4ro,2024-01-22T17:35:36.024Z,trending redheart,en
@rinkeshchouhan8760,2024-01-22T17:35:36.024Z,triangularflag,en
@itsmeoriginal4047,2024-01-22T17:35:36.024Z,jai shree ram,en
@user-zh9eg7qf2p,2024-01-22T17:35:36.024Z,,en
@SamalaJagadeeshReddy,2024-01-22T16:35:36.453Z,jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram,en
@deepeshkushwaha2915,2024-01-22T16:35:36.453Z,redheartredheart,en
@manigupta23,2024-01-22T16:35:36.453Z,jay shree ram redheartredheartredheart,en
@danishnaik83,2024-01-22T16:35:36.453Z,jai shree ram triangularflag,en
@mrnaveen5417,2024-01-22T16:35:36.453Z,jai shree ramredheart,en
@SELFKITCHEN397,2024-01-22T16:35:36.453Z,,en
@autoliftin6291,2024-01-22T16:35:36.870Z,jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram jai shree ram,en
@anilrevoor,2024-01-22T16:35:36.871Z,namo namo ho shankara bolenatha shankara redheartredheart,en
@pkhata4174,2024-01-22T16:35:36.871Z,triangularflagorangeheartblossom,en
@user-yp1kc8vu3y,2024-01-22T16:35:36.871Z,jai shree ram,en
@khemsingsahu6718,2024-01-22T16:35:36.871Z,redheartredheartredheart redheartredheartredheartredheart,en
@user-yl7cv3os5r,2024-01-22T16:35:36.871Z,foldedhandstriangularflagheartsuit,en
@Hdmoviefreenew,2024-01-22T16:35:36.871Z,jai shree ram jai shree ram,en
@user-qf5nd8cj6d,2024-01-22T16:35:36.871Z,also hat yogi adityanath welfare ayodhya uttarpradesh heartsuitheartsuitheartsuit,en
@testbookcouponcode-CGB26J,2024-01-22T16:35:36.871Z,jai shree ram redheartredheart,en
@mrashisuncreation3270,2024-01-22T16:35:37.396Z,jay shree ram triangularflagfoldedhandstriangularflag,en
@pushprajsoni3725,2024-01-22T16:35:37.913Z,cryingfacecryingfacecryingfacecryingfacecryingfacecryingface,en
@manojyadavias,2024-01-22T16:35:37.914Z,triangularflagredheart,en
@mpr..2849,2024-01-22T16:35:37.914Z,jin jin ko ye pawan kshan dekhne ka mauka mila wo bohot bhagyawan hai foldedhandsjay shree ramtriangularflag,en
@priyamalikxii7914,2024-01-22T16:35:37.914Z,jai shree ram foldedhandsfoldedhandsfoldedhandsfoldedhands,en
@mkcreation8486,2024-01-22T16:35:37.915Z,cant forget day whole life redheart,en
@ShyamSingh-ch4xv,2024-01-22T16:35:38.355Z,jay shree ram partypopperfoldedhandssmilingfacewithheartstriangularflagtriangularflagtriangularflagtriangularflagtriangularflagfoldedhandsfoldedhandsfoldedhandsfoldedhandstriangularflagtriangularflag,en
@rakeshupdhaya-sk1uz,2024-01-22T16:35:38.355Z,jai shree ramfoldedhands,en
@dayananda6379,2024-01-22T16:35:38.355Z,proud watch shri pejawar swami ji,en
@naganandshetti7588,2024-01-22T16:35:38.950Z,namo,en
@peaceandtruth371,2024-01-22T16:35:38.950Z,jai sree ram redheart,en
@Theordinarylife_24,2024-01-22T16:35:39.487Z,jai shri ram everyone,en
@avinashkrmahato9697,2024-01-22T16:35:39.487Z,jai shree ram,en
@meenusingh2395,2024-01-22T16:35:40.001Z,,en
@Ramgupta97,2024-01-22T16:35:40.001Z,jai shree ram redheart,en
@Shivlal_saran_2,2024-01-22T16:35:40.001Z,jai shree ram redheart,en
@toralpatel8348,2024-01-22T16:35:40.001Z,jay shree ram modiji blessed pm like thank,en
@AK-wl4zp,2024-01-22T16:35:40.001Z,,en
@kumkumgohil6740,2024-01-22T16:35:40.588Z,finally lord return born place today also first day work feeling blessed vibe day never forget made redheart lot love jai shree raam redheart,en
@nikhillahudkar1816,2024-01-22T16:35:41.116Z,redheart,en
@ronakgajabgamer,2024-01-22T16:35:41.116Z,triangularflag,en
@SurprisedArchery-um6kx,2024-01-22T16:35:41.117Z,thank much nice day pm modi ji om jay shree ram triangularflaggemstonecrescentmoon diyalamphibiscusomdottedsixpointedstarrainbow,en
@gota56300,2024-01-22T16:35:41.117Z,jai shree ram jai foldedhandsfoldedhandsfoldedhandsfoldedhandsgreenheart,en
@PuranKanoujia-ys5si,2024-01-22T16:35:41.117Z,jai shree ram redheartredheartfoldedhandsfoldedhands,en
@prynshumusic,2024-01-22T16:35:41.117Z,jai jai shree ram jai jai shree hanuman,en
@singerpinkusharma2787,2024-01-22T16:35:41.688Z,jai shree ram,en
@pvvaidehisinghn,2024-01-22T16:35:41.688Z,,en
@mahendrashukla6124,2024-01-22T16:35:41.688Z,,en
@mahendrashukla6124,2024-01-22T16:35:41.688Z,,en
@mahendrashukla6124,2024-01-22T16:35:42.177Z,redheart,en
@user-vu4vf4pg2c,2024-01-22T16:35:42.177Z,jai ho mata sita pita shree ram jii kiifoldedhandsredheartsmilingfacewithhearteyestriangularflag,en
@mahendrashukla6124,2024-01-22T16:35:42.177Z,,en
@user-vu4vf4pg2c,2024-01-22T16:35:42.177Z,jai shriman narayanfoldedhandsredheartsmilingfacewithhearteyestriangularflag,en
@hariommishra9740,2024-01-22T16:35:42.178Z,foldedhandsfoldedhandsfoldedhands,en
@AvinashKumarAK,2024-01-22T16:35:42.178Z,,en
@Ayush_rajpoot_96,2024-01-22T16:35:42.655Z,triangularflagredheartom,en
@dukiyamaya,2024-01-22T16:35:42.656Z,jai shree ram partypopperpartypopper,en
@ravigupta....3917,2024-01-22T16:35:42.656Z,redheartredheartfoldedhandstriangularflagtriangularflagtriangularflagtriangularflagtriangularflagtriangularflag,en
@bhojpuricinema4670,2024-01-22T16:35:42.656Z,,en
@user-sriram88308,2024-01-22T16:35:42.656Z,redheartredheartredheartredheart,en
@romilbadshahsaini150,2024-01-22T16:35:42.656Z,,en
@shrimatihemmantkumarighoor4514,2024-01-22T16:35:42.656Z,congratulation modiji god bless jai shree ram,en
@bachelordiary6236,2024-01-22T16:35:42.656Z,triangularflaghindutemplediyalampbellfoldedhands,en
@Sukoon_lines_era,2024-01-22T16:35:42.656Z,jai shree ramredheart,en
@rahulsharmaoo7,2024-01-22T16:35:42.656Z,jai shri ram,en
@sougandhs4000,2024-01-22T16:35:42.656Z,om sri sai ram om,en
@user-pt6zr5hw7g,2024-01-22T16:35:42.656Z,foldedhands triangularflag,en
@kishorojha6572,2024-01-22T16:35:42.656Z,jai shree ram,en
@Sanjeev-0119,2024-01-22T16:35:43.187Z,foldedhands triangularflag triangularflag foldedhandsfoldedhands,en
@mkharshavardhan1551,2024-01-22T16:35:43.187Z,yogi ji blessedomheartwithribbonsmilingfacewithhearteyes jai shri ramheartwithribbon,en
@harishnayak5722,2024-01-22T16:35:43.187Z,jai shree ram triangularflagtriangularflagtriangularflag,en
@SSSG01,2024-01-22T16:35:43.589Z,triangularflagtriangularflagtriangularflagtriangularflagredheartredheartredheart,en
@Pahadi.Uk03,2024-01-22T16:35:43.589Z,jai shree ram foldedhandsfoldedhandsfoldedhands,en
@SSSG01,2024-01-22T16:35:43.990Z,triangularflag,en
@immrays,2024-01-22T16:35:43.990Z,one avatara purush performing another avatara purushas lord ram prana prathishtapanfoldedhands day coconut water sleeping floor going temple performing pujas easy task foldedhands determination strong pm age commendable foldedhandsjai shri ramfoldedhandsfoldedhands,en
@shreeram.82,2024-01-22T16:35:43.990Z,jay shree ram,en
@user-os1rg6so8e,2024-01-22T16:35:43.991Z,jai shree ram redheartredheart,en
@pragyatiwari7070,2024-01-22T16:35:44.428Z,mere rampleadingfacetriangularflagfoldedhands,en
@dreams4065,2024-01-22T16:35:44.428Z,blessed witness divine moment jai shri ramredheart,en
@Sehwag_sahu,2024-01-22T16:35:44.428Z,ki kisko lagta hai ki bharat ko hindurashtra bana dena chahiye,en
@mevadaanil8642,2024-01-22T15:35:45.336Z,redheart,en
@Johnyhamal,2024-01-22T15:35:45.337Z,redheart,en
@SonaliKumari-of8vx,2024-01-22T15:35:45.337Z,triangularflagtriangularflag,en
@maxketan123,2024-01-22T15:35:45.337Z,jai shree ram ji redheart,en
@sanjaynikam7874,2024-01-22T15:35:46.003Z,triangularflagtriangularflagtriangularflagtriangularflagtriangularflag,en
@MR.M.K.SHARMA_,2024-01-22T15:35:46.003Z,foldedhandssmilingfacewithheartssmilingfacewithsmilingeyes foldedhandssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyesfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhands,en
@prachii2408,2024-01-22T15:35:46.003Z,omtriangularflag,en
@AdityaYadavvlog3103,2024-01-22T15:35:46.508Z,jo prabhu shri ram se pyar karta hai vah channel ko subscribe kare,en
@Jafar.sadik.,2024-01-22T15:35:46.508Z,mere channel se aapko help ho sakti,en
@PandavRaj7,2024-01-22T15:35:47.352Z,redheartredheartredheartjai shree ramfoldedhandsfoldedhandsfoldedhandsfoldedhands,en
@Lsmusicjilola96,2024-01-22T15:35:47.352Z,,en
@AeonMusicRecord,2024-01-22T15:35:47.352Z,incredible moment bharat year time come enlighten world next year peace prosperity humankind,en
@kankansarkar9258,2024-01-22T15:35:47.352Z,thank modi ji foldedhands became possible bjp govt modi sarkar jay shri ram foldedhands,en
@kavitavishwakarma2333,2024-01-22T15:35:47.352Z,im feeling tirupati balaji ram ram hi toh balaji hai jai shree ram jai hanuman foldedhands jai sree krishna radhe radhe foldedhands,en
@sarojbhatt5333,2024-01-22T15:35:47.972Z,jai jai shree ram foldedhandsfoldedhandsfoldedhands subh hua hamlogo ke liye jai shree ram foldedhands,en
@user-zu3hk7oj5t,2024-01-22T15:35:47.972Z,ji shree ram foldedhandsfoldedhandsfoldedhands,en
